City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Saldanha,ZA,61.65,few clouds,-33.0117,17.9442,Blue Bay Lodge
4,Barmer,IN,97.32,clear sky,25.75,71.3833,Jain Dharamshala
6,Butaritari,KI,81.39,clear sky,3.0707,172.7902,Isles Sunset Lodge
7,Rikitea,PF,77.27,light rain,-23.1203,-134.9692,People ThankYou
8,Punta Arenas,CL,50.11,light rain,-53.15,-70.9167,Hotel Hain
11,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Cititel Penang
14,Praia Da Vitoria,PT,59.76,broken clouds,38.7333,-27.0667,Hotel Branco I
15,Dunedin,NZ,62.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
16,Dakar,SN,67.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
17,Puerto Ayora,EC,74.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Isabela,PH,87.85,few clouds,6.7085,121.9711,Isawad Resort
21,Kawalu,ID,86.09,broken clouds,-7.3817,108.2082,West Jontor
22,Arlit,NE,72.32,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
23,Mao,ES,52.36,broken clouds,39.8885,4.2658,ARTIEM Capri
24,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
25,Bredasdorp,ZA,61.56,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
26,Hobart,AU,57.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
27,Lloro,CO,73.11,overcast clouds,5.4961,-76.5495,aidemi
30,Gizo,SB,84.13,light rain,-8.103,156.8419,Imagination Island
31,Guerrero Negro,MX,58.62,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
32,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
35,Kavieng,PG,83.88,light rain,-2.5744,150.7967,Nusa Island Retreat
36,Guigue,VE,69.91,broken clouds,10.0853,-67.7792,La vasquereña
37,Heishan,CN,49.77,broken clouds,41.6892,122.1128,Heishan Hotel
39,Sao Filipe,CV,70.29,scattered clouds,14.8961,-24.4956,Hotel Xaguate
42,San Patricio,US,73.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
43,Kruisfontein,ZA,61.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
44,Garowe,SO,78.71,clear sky,8.4054,48.4845,Curubo Hotel
45,Alice Springs,AU,81.95,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
